mass_A
t;x;y;v;a
1,970000000E0;2,491125968E-1;2,273832909E-1;7,027875942E-1;4,144602620E0
1,980000000E0;2,436795538E-1;2,311352668E-1;6,434683910E-1;3,750754453E0
1,990000000E0;2,382854122E-1;2,343397771E-1;6,299799382E-1;2,233843246E0
2,000000000E0;2,330116254E-1;2,378393845E-1;6,100671430E-1;3,818214611E0
2,010000000E0;2,282936525E-1;2,413424555E-1;5,540176106E-1;5,069210129E0
2,020000000E0;2,238933790E-1;2,441347627E-1;5,052116391E-1;4,914206933E0
2,030000000E0;2,200185570E-1;2,471405859E-1;4,604513306E-1;4,161270120E0
2,040000000E0;2,164707636E-1;2,495855380E-1;4,180682148E-1;3,541735917E0
2,050000000E0;2,131824634E-1;2,519551717E-1;3,921484877E-1;3,040267328E0
2,060000000E0;2,101579602E-1;2,542396424E-1;3,591688331E-1;4,124927414E0
2,070000000E0;2,074387620E-1;2,562691947E-1;3,103079143E-1;4,253989387E0
2,080000000E0;2,052242842E-1;2,580046447E-1;2,703177052E-1;4,284793990E0
2,090000000E0;2,030922192E-1;2,594841955E-1;2,308848173E-1;4,201016813E0
2,100000000E0;2,016527199E-1;2,609315966E-1;1,844728701E-1;3,853600480E0
2,110000000E0;2,003945630E-1;2,620010879E-1;1,560178476E-1;3,475043897E0
2,120000000E0;1,993796201E-1;2,630692694E-1;1,197999612E-1;3,534004589E0
2,130000000E0;1,985893218E-1;2,635764978E-1;8,173575573E-2;4,174438746E0
2,140000000E0;1,982626813E-1;2,642628947E-1;4,439364740E-2;3,589128155E0
2,150000000E0;1,981871472E-1;2,643680621E-1;5,297125543E-3;4,066304796E0
2,160000000E0;1,982402505E-1;2,643664354E-1;3,070446523E-2;3,810539050E0
2,170000000E0;1,983715995E-1;2,637823292E-1;7,441498181E-2;3,927257175E0
2,180000000E0;1,991528126E-1;2,631907371E-1;1,074944142E-1;3,158804426E0
2,190000000E0;1,998999789E-1;2,622703516E-1;1,347431890E-1;3,430918916E0
2,200000000E0;2,008798843E-1;2,611220385E-1;1,751125687E-1;3,788482200E0
2,210000000E0;2,025288261E-1;2,599562802E-1;2,091836402E-1;4,067868578E0
2,220000000E0;2,041631083E-1;2,585290560E-1;2,483910775E-1;3,872247338E0
