35,00;0.23;0.246;0.282;0.0285
35,00;0.229;0.247;0.285;0.0174
35.1;0.228;0.247;0.23;0.00617
35.1;0.228;0.247;0.21;0.00186
35.2;0.229;0.247;0.235;0.00981
35.2;0.229;0.246;0.269;0.0213
35.2;0.23;0.246;0.267;0.0311
35.3;0.231;0.245;0.276;0.0423
35.3;0.233;0.243;0.236;0.0535
35.4;0.234;0.242;0.224;0.0609
35.4;0.237;0.241;0.258;0.0704
35.4;0.239;0.239;0.274;0.0824
35.5;0.242;0.237;0.243;0.092
35.5;0.245;0.235;0.198;0.102
35.6;0.249;0.233;0.219;0.108
35.6;0.253;0.23;0.255;0.118
35.6;0.257;0.228;0.244;0.13
35.7;0.261;0.225;0.159;0.137
35.7;0.266;0.222;0.219;0.142
35.8;0.271;0.219;0.274;0.154
35.8;0.277;0.216;0.237;0.165
35.8;0.283;0.212;0.192;0.171
35.9;0.289;0.209;0.205;0.18
35.9;0.295;0.205;0.26;0.189
36,00;0.302;0.201;0.176;0.199
36,00;0.309;0.198;0.24;0.204
36,00;0.316;0.194;0.23;0.209
36.1;0.324;0.191;0.319;0.224
36.1;0.332;0.186;0.177;0.233
36.2;0.341;0.182;0.299;0.236
36.2;0.349;0.177;0.254;0.248
36.2;0.359;0.173;0.173;0.253
36.3;0.368;0.169;0.102;0.255
36.3;0.377;0.165;0.241;0.263
36.4;0.387;0.161;0.202;0.272
36.4;0.398;0.157;0.172;0.279
36.4;0.408;0.153;0.188;0.28
36.5;0.419;0.15;0.198;0.291
36.5;0.43;0.146;0.138;0.298
36.6;0.441;0.142;0.147;0.296
36.6;0.453;0.139;0.166;0.302
36.6;0.464;0.135;0.172;0.308
36.7;0.476;0.132;0.162;0.313
36.7;0.488;0.128;0.482;0.317
36.8;0.501;0.125;0.0436;0.313
36.8;0.513;0.125;0.303;0.318
36.8;0.526;0.12;0.157;0.33
36.9;0.539;0.117;0.476;0.331
36.9;0.552;0.115;0.136;0.33
37,00;0.565;0.113;0.0882;0.333
